file_name,class,file_path,source
aug_0_hazardous_battery-15_aug2670.jpg,hazardous,dataset\hazardous\aug_0_hazardous_battery-15_aug2670.jpg,clean_balanced_dataset
aug_100_hazardous_battery-24_aug107.jpg,hazardous,dataset\hazardous\aug_100_hazardous_battery-24_aug107.jpg,clean_balanced_dataset
aug_10_hazardous_battery-24_aug1435.jpg,hazardous,dataset\hazardous\aug_10_hazardous_battery-24_aug1435.jpg,clean_balanced_dataset
aug_11_hazardous_battery-28_aug1797.jpg,hazardous,dataset\hazardous\aug_11_hazardous_battery-28_aug1797.jpg,clean_balanced_dataset
aug_12_hazardous_battery-16_aug2061.jpg,hazardous,dataset\hazardous\aug_12_hazardous_battery-16_aug2061.jpg,clean_balanced_dataset
aug_13_hazardous_battery-27_aug1687.jpg,hazardous,dataset\hazardous\aug_13_hazardous_battery-27_aug1687.jpg,clean_balanced_dataset
aug_14_hazardous_battery-21_aug2211.jpg,hazardous,dataset\hazardous\aug_14_hazardous_battery-21_aug2211.jpg,clean_balanced_dataset
aug_15_hazardous_battery-1_aug2622.jpg,hazardous,dataset\hazardous\aug_15_hazardous_battery-1_aug2622.jpg,clean_balanced_dataset
aug_16_hazardous_battery-2_aug845.jpg,hazardous,dataset\hazardous\aug_16_hazardous_battery-2_aug845.jpg,clean_balanced_dataset
aug_17_hazardous_battery-17_aug843.jpg,hazardous,dataset\hazardous\aug_17_hazardous_battery-17_aug843.jpg,clean_balanced_dataset
aug_18_hazardous_battery-16_aug1304.jpg,hazardous,dataset\hazardous\aug_18_hazardous_battery-16_aug1304.jpg,clean_balanced_dataset
aug_19_hazardous_battery-25_aug413.jpg,hazardous,dataset\hazardous\aug_19_hazardous_battery-25_aug413.jpg,clean_balanced_dataset
aug_1_hazardous_battery-9.jpg,hazardous,dataset\hazardous\aug_1_hazardous_battery-9.jpg,clean_balanced_dataset
aug_20_hazardous_battery-3_aug1837.jpg,hazardous,dataset\hazardous\aug_20_hazardous_battery-3_aug1837.jpg,clean_balanced_dataset
aug_21_hazardous_battery-8.jpg,hazardous,dataset\hazardous\aug_21_hazardous_battery-8.jpg,clean_balanced_dataset
aug_22_hazardous_battery-6_aug17.jpg,hazardous,dataset\hazardous\aug_22_hazardous_battery-6_aug17.jpg,clean_balanced_dataset
aug_23_hazardous_battery-15_aug2353.jpg,hazardous,dataset\hazardous\aug_23_hazardous_battery-15_aug2353.jpg,clean_balanced_dataset
aug_24_hazardous_battery-23_aug390.jpg,hazardous,dataset\hazardous\aug_24_hazardous_battery-23_aug390.jpg,clean_balanced_dataset
aug_25_hazardous_battery-2_aug845.jpg,hazardous,dataset\hazardous\aug_25_hazardous_battery-2_aug845.jpg,clean_balanced_dataset
aug_26_hazardous_battery-5_aug194.jpg,hazardous,dataset\hazardous\aug_26_hazardous_battery-5_aug194.jpg,clean_balanced_dataset
aug_27_hazardous_battery-10.jpg,hazardous,dataset\hazardous\aug_27_hazardous_battery-10.jpg,clean_balanced_dataset
aug_28_hazardous_battery-25_aug211.jpg,hazardous,dataset\hazardous\aug_28_hazardous_battery-25_aug211.jpg,clean_balanced_dataset
aug_29_hazardous_battery-5.jpg,hazardous,dataset\hazardous\aug_29_hazardous_battery-5.jpg,clean_balanced_dataset
aug_2_hazardous_battery-3_aug770.jpg,hazardous,dataset\hazardous\aug_2_hazardous_battery-3_aug770.jpg,clean_balanced_dataset
aug_30_hazardous_battery-17_aug1697.jpg,hazardous,dataset\hazardous\aug_30_hazardous_battery-17_aug1697.jpg,clean_balanced_dataset
aug_31_hazardous_battery-12_aug2473.jpg,hazardous,dataset\hazardous\aug_31_hazardous_battery-12_aug2473.jpg,clean_balanced_dataset
aug_32_hazardous_battery-23_aug390.jpg,hazardous,dataset\hazardous\aug_32_hazardous_battery-23_aug390.jpg,clean_balanced_dataset
aug_33_hazardous_battery-3_aug770.jpg,hazardous,dataset\hazardous\aug_33_hazardous_battery-3_aug770.jpg,clean_balanced_dataset
aug_34_hazardous_battery-21_aug608.jpg,hazardous,dataset\hazardous\aug_34_hazardous_battery-21_aug608.jpg,clean_balanced_dataset
aug_35_hazardous_battery-4_aug1446.jpg,hazardous,dataset\hazardous\aug_35_hazardous_battery-4_aug1446.jpg,clean_balanced_dataset
aug_36_hazardous_battery-25_aug1650.jpg,hazardous,dataset\hazardous\aug_36_hazardous_battery-25_aug1650.jpg,clean_balanced_dataset
aug_37_hazardous_battery-27_aug1687.jpg,hazardous,dataset\hazardous\aug_37_hazardous_battery-27_aug1687.jpg,clean_balanced_dataset
aug_38_hazardous_battery-15_aug2670.jpg,hazardous,dataset\hazardous\aug_38_hazardous_battery-15_aug2670.jpg,clean_balanced_dataset
aug_39_hazardous_battery-3_aug770.jpg,hazardous,dataset\hazardous\aug_39_hazardous_battery-3_aug770.jpg,clean_balanced_dataset
aug_3_hazardous_battery-12_aug2295.jpg,hazardous,dataset\hazardous\aug_3_hazardous_battery-12_aug2295.jpg,clean_balanced_dataset
aug_40_hazardous_battery-3_aug346.jpg,hazardous,dataset\hazardous\aug_40_hazardous_battery-3_aug346.jpg,clean_balanced_dataset
aug_41_hazardous_battery-24_aug2562.jpg,hazardous,dataset\hazardous\aug_41_hazardous_battery-24_aug2562.jpg,clean_balanced_dataset
aug_42_hazardous_battery-22_aug639.jpg,hazardous,dataset\hazardous\aug_42_hazardous_battery-22_aug639.jpg,clean_balanced_dataset
aug_43_hazardous_battery-3_aug1837.jpg,hazardous,dataset\hazardous\aug_43_hazardous_battery-3_aug1837.jpg,clean_balanced_dataset
aug_44_hazardous_battery-2_aug2049.jpg,hazardous,dataset\hazardous\aug_44_hazardous_battery-2_aug2049.jpg,clean_balanced_dataset
aug_45_hazardous_battery-27_aug1279.jpg,hazardous,dataset\hazardous\aug_45_hazardous_battery-27_aug1279.jpg,clean_balanced_dataset
aug_46_hazardous_battery-12_aug1083.jpg,hazardous,dataset\hazardous\aug_46_hazardous_battery-12_aug1083.jpg,clean_balanced_dataset
aug_47_hazardous_battery-21_aug245.jpg,hazardous,dataset\hazardous\aug_47_hazardous_battery-21_aug245.jpg,clean_balanced_dataset
aug_48_hazardous_battery-19_aug1335.jpg,hazardous,dataset\hazardous\aug_48_hazardous_battery-19_aug1335.jpg,clean_balanced_dataset
aug_49_hazardous_battery-11_aug2493.jpg,hazardous,dataset\hazardous\aug_49_hazardous_battery-11_aug2493.jpg,clean_balanced_dataset
aug_4_hazardous_battery-25_aug2687.jpg,hazardous,dataset\hazardous\aug_4_hazardous_battery-25_aug2687.jpg,clean_balanced_dataset
aug_50_hazardous_battery-12_aug1305.jpg,hazardous,dataset\hazardous\aug_50_hazardous_battery-12_aug1305.jpg,clean_balanced_dataset
aug_51_hazardous_battery-6_aug17.jpg,hazardous,dataset\hazardous\aug_51_hazardous_battery-6_aug17.jpg,clean_balanced_dataset
