class,filename,extension,width,height,mode,file_size_kb
hazardous,hazardous_hazardous_hazardous_hazardous_battery-10.jpg,.jpg,224,224,RGB,13.84
hazardous,hazardous_hazardous_hazardous_hazardous_battery-10_aug1462.jpg,.jpg,224,224,RGB,13.83
hazardous,hazardous_hazardous_hazardous_hazardous_battery-10_aug596.jpg,.jpg,224,224,RGB,12.78
hazardous,hazardous_hazardous_hazardous_hazardous_battery-10_aug895.jpg,.jpg,224,224,RGB,14.76
hazardous,hazardous_hazardous_hazardous_hazardous_battery-11_aug2135.jpg,.jpg,224,224,RGB,15.88
hazardous,hazardous_hazardous_hazardous_hazardous_battery-11_aug2493.jpg,.jpg,224,224,RGB,15.87
hazardous,hazardous_hazardous_hazardous_hazardous_battery-11_aug40.jpg,.jpg,224,224,RGB,15.65
hazardous,hazardous_hazardous_hazardous_hazardous_battery-11_aug640.jpg,.jpg,224,224,RGB,15.2
hazardous,hazardous_hazardous_hazardous_hazardous_battery-12_aug1083.jpg,.jpg,224,224,RGB,16.57
hazardous,hazardous_hazardous_hazardous_hazardous_battery-12_aug1305.jpg,.jpg,224,224,RGB,16.25
hazardous,hazardous_hazardous_hazardous_hazardous_battery-12_aug2295.jpg,.jpg,224,224,RGB,16.26
hazardous,hazardous_hazardous_hazardous_hazardous_battery-12_aug2473.jpg,.jpg,224,224,RGB,16.26
hazardous,hazardous_hazardous_hazardous_hazardous_battery-13.jpg,.jpg,224,224,RGB,11.64
hazardous,hazardous_hazardous_hazardous_hazardous_battery-13_aug1759.jpg,.jpg,224,224,RGB,7.27
hazardous,hazardous_hazardous_hazardous_hazardous_battery-13_aug242.jpg,.jpg,224,224,RGB,11.63
hazardous,hazardous_hazardous_hazardous_hazardous_battery-14.jpg,.jpg,224,224,RGB,15.22
hazardous,hazardous_hazardous_hazardous_hazardous_battery-14_aug1287.jpg,.jpg,224,224,RGB,14.1
hazardous,hazardous_hazardous_hazardous_hazardous_battery-14_aug1527.jpg,.jpg,224,224,RGB,15.82
hazardous,hazardous_hazardous_hazardous_hazardous_battery-14_aug190.jpg,.jpg,224,224,RGB,15.2
hazardous,hazardous_hazardous_hazardous_hazardous_battery-14_aug978.jpg,.jpg,224,224,RGB,14.91
hazardous,hazardous_hazardous_hazardous_hazardous_battery-15_aug1445.jpg,.jpg,224,224,RGB,14.18
hazardous,hazardous_hazardous_hazardous_hazardous_battery-15_aug1942.jpg,.jpg,224,224,RGB,14.8
hazardous,hazardous_hazardous_hazardous_hazardous_battery-15_aug2353.jpg,.jpg,224,224,RGB,13.54
hazardous,hazardous_hazardous_hazardous_hazardous_battery-15_aug2567.jpg,.jpg,224,224,RGB,15.03
hazardous,hazardous_hazardous_hazardous_hazardous_battery-15_aug2670.jpg,.jpg,224,224,RGB,13.78
hazardous,hazardous_hazardous_hazardous_hazardous_battery-16_aug1304.jpg,.jpg,224,224,RGB,13.53
hazardous,hazardous_hazardous_hazardous_hazardous_battery-16_aug2061.jpg,.jpg,224,224,RGB,13.42
hazardous,hazardous_hazardous_hazardous_hazardous_battery-16_aug2316.jpg,.jpg,224,224,RGB,13.55
hazardous,hazardous_hazardous_hazardous_hazardous_battery-17_aug1505.jpg,.jpg,224,224,RGB,13.47
hazardous,hazardous_hazardous_hazardous_hazardous_battery-17_aug1697.jpg,.jpg,224,224,RGB,13.98
hazardous,hazardous_hazardous_hazardous_hazardous_battery-17_aug843.jpg,.jpg,224,224,RGB,13.48
hazardous,hazardous_hazardous_hazardous_hazardous_battery-18_aug1737.jpg,.jpg,224,224,RGB,13.58
hazardous,hazardous_hazardous_hazardous_hazardous_battery-18_aug2733.jpg,.jpg,224,224,RGB,12.48
hazardous,hazardous_hazardous_hazardous_hazardous_battery-19_aug1335.jpg,.jpg,224,224,RGB,14.41
hazardous,hazardous_hazardous_hazardous_hazardous_battery-19_aug1501.jpg,.jpg,224,224,RGB,14.42
hazardous,hazardous_hazardous_hazardous_hazardous_battery-1_aug1274.jpg,.jpg,224,224,RGB,11.21
hazardous,hazardous_hazardous_hazardous_hazardous_battery-1_aug2041.jpg,.jpg,224,224,RGB,11.27
hazardous,hazardous_hazardous_hazardous_hazardous_battery-1_aug2622.jpg,.jpg,224,224,RGB,10.59
hazardous,hazardous_hazardous_hazardous_hazardous_battery-1_aug498.jpg,.jpg,224,224,RGB,12.61
hazardous,hazardous_hazardous_hazardous_hazardous_battery-1_aug665.jpg,.jpg,224,224,RGB,11.32
hazardous,hazardous_hazardous_hazardous_hazardous_battery-20_aug166.jpg,.jpg,224,224,RGB,13.79
hazardous,hazardous_hazardous_hazardous_hazardous_battery-20_aug2015.jpg,.jpg,224,224,RGB,13.28
hazardous,hazardous_hazardous_hazardous_hazardous_battery-20_aug2224.jpg,.jpg,224,224,RGB,13.29
hazardous,hazardous_hazardous_hazardous_hazardous_battery-20_aug2510.jpg,.jpg,224,224,RGB,15.17
hazardous,hazardous_hazardous_hazardous_hazardous_battery-21.jpg,.jpg,224,224,RGB,11.13
hazardous,hazardous_hazardous_hazardous_hazardous_battery-21_aug1919.jpg,.jpg,224,224,RGB,10.86
hazardous,hazardous_hazardous_hazardous_hazardous_battery-21_aug2211.jpg,.jpg,224,224,RGB,11.36
hazardous,hazardous_hazardous_hazardous_hazardous_battery-21_aug245.jpg,.jpg,224,224,RGB,11.43
hazardous,hazardous_hazardous_hazardous_hazardous_battery-21_aug608.jpg,.jpg,224,224,RGB,12.46
hazardous,hazardous_hazardous_hazardous_hazardous_battery-21_aug615.jpg,.jpg,224,224,RGB,11.45
hazardous,hazardous_hazardous_hazardous_hazardous_battery-22_aug639.jpg,.jpg,224,224,RGB,11.78
hazardous,hazardous_hazardous_hazardous_hazardous_battery-23_aug304.jpg,.jpg,224,224,RGB,11.7
hazardous,hazardous_hazardous_hazardous_hazardous_battery-23_aug390.jpg,.jpg,224,224,RGB,13.14
hazardous,hazardous_hazardous_hazardous_hazardous_battery-23_aug721.jpg,.jpg,224,224,RGB,12.52
hazardous,hazardous_hazardous_hazardous_hazardous_battery-24_aug107.jpg,.jpg,224,224,RGB,13.34
hazardous,hazardous_hazardous_hazardous_hazardous_battery-24_aug1435.jpg,.jpg,224,224,RGB,12.65
hazardous,hazardous_hazardous_hazardous_hazardous_battery-24_aug2562.jpg,.jpg,224,224,RGB,12.99
hazardous,hazardous_hazardous_hazardous_hazardous_battery-24_aug383.jpg,.jpg,224,224,RGB,12.63
hazardous,hazardous_hazardous_hazardous_hazardous_battery-24_aug922.jpg,.jpg,224,224,RGB,11.79
hazardous,hazardous_hazardous_hazardous_hazardous_battery-25_aug1650.jpg,.jpg,224,224,RGB,14.49
hazardous,hazardous_hazardous_hazardous_hazardous_battery-25_aug211.jpg,.jpg,224,224,RGB,13.15
hazardous,hazardous_hazardous_hazardous_hazardous_battery-25_aug2210.jpg,.jpg,224,224,RGB,13.93
